species,gear_type,year,ocean,value
BET,BB,1974,ATL,6224.97
ALB,LL,1954,IND,2733.74
BFT,TRAP,2003,ATL,27.13
YFT,BB,1996,PAC_E,2955.72
YFT,GILL,1985,IND,6904.68
SKJ,LL,2004,PAC_E,122.32
ALB,LL,2001,ATL,29741.36
YFT,LL,1975,ATL,24765.67
ALB,BB,1980,ATL,1938.82
SBF,LL,1985,IND,15790.70
BET,LL,1999,IND,56627.16
SWO,LL,1981,ATL,5803.72
SFA,LL,1976,PAC_W,1754.89
SBF,LL,1997,PAC_W,1944.96
BET,PS,1985,IND,6227.60
SKJ,BB,1994,IND,68765.90
BLM,LL,1994,PAC_E,246.54
SKJ,PS,1972,ATL,30116.67
BLM,LL,1964,PAC_W,1697.66
SKJ,PS,1998,PAC_E,134050.96
YFT,LL,1953,IND,6766.78
BET,PS,1997,PAC_W,40473.61
SWO,GILL,2000,IND,2838.94
MLS,LL,1973,ATL,969.91
MLS,LL,1983,ATL,419.47
BFT,LL,1982,PAC_E,2.98
SWO,LL,1992,PAC_W,18320.71
ALB,PS,1976,PAC_E,259.11
MLS,LL,1967,IND,4767.09
BET,LL,1971,PAC_E,29067.47
SKJ,BB,1975,PAC_W,212754.27
ALB,OTHER_A,1990,ATL,64.00
BET,LL,1975,ATL,34005.29
YFT,LL,1999,IND,37373.65
SKJ,LL,1967,PAC_E,138.20
YFT,BB,1991,IND,7068.06
SFA,LL,1988,PAC_W,1565.16
BUM,LL,1995,IND,3481.85
YFT,BB,1974,ATL,15617.82
YFT,BB,1993,PAC_E,4919.93
SKJ,OTHER_I,1972,IND,339.99
ALB,PS,1986,IND,218.22
BUM,LL,2001,PAC_W,15556.37
BIL,LL,1968,PAC_E,7.47
SFA,LL,1987,PAC_E,649.46
YFT,BB,1970,PAC_W,73.75
YFT,LL,1971,PAC_E,7855.06
BFT,PS,1978,PAC_E,5380.81
MLS,LL,2004,IND,2669.37
MLS,LL,1969,PAC_E,9028.64
BET,LL,1953,IND,1651.85
BIL,LL,1991,PAC_E,1.00
YFT,PS,1997,PAC_W,253975.49
YFT,PS,1985,IND,67652.58
YFT,LL,1951,PAC_W,8557.32
SKJ,PS,1990,ATL,76797.75
ALB,LL,1969,PAC_W,38481.43
BIL,LL,2001,PAC_E,169.77
BUM,LL,1973,PAC_E,1631.26
BUM,LL,1983,PAC_E,2052.00
BFT,BB,1974,ATL,191.19
BET,LL,1961,PAC_E,51906.73
YFT,PS,1992,IND,110587.53
BUM,LL,1970,IND,4029.50
SFA,LL,1998,IND,143.89
BET,LL,1955,PAC_W,23854.91
SKJ,GILL,1987,IND,15302.27
YFT,LL,1980,IND,20177.92
SWO,LL,1960,PAC_E,134.09
BET,LL,1982,PAC_E,52348.05
YFT,BB,2001,IND,11080.00
MLS,LL,2002,IND,2180.32
BFT,LL,1971,PAC_E,20.49
